Index,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Power_Steering,Power_Windows,Power,Torque,Speedometer,Type,Wheelbase,Wheels_Size,Basic_Warranty,Ventilation_System,Column1,_1,ABS_(Anti-lock_Braking_System),Gross_Vehicle_Weight,Airbags,Number_of_Airbags,Compression_Ratio,Parking_Assistance,Average_Speed,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57
0,Tata,Nano Genx,Xt,"Rs. 2,92,667",624 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,?23.6 km/litre,,23.6 km/litre,,660 kg,4,180 mm,Drum,Drum,Electric Power,Only Front Windows,38PS@5500rpm,51Nm@4000rpm,Analog,Manual,2230 mm,4 B X 12,2 years /75000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tata,Nano Genx,Xe,"Rs. 2,36,447",624 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,?23.6 km/litre,,23.6 km/litre,,725 kg,4,180 mm,Drum,Drum,,,38PS@5500rpm,51Nm@4000rpm,Analog,Manual,2230 mm,4 B X 12,2 years /75000 Kms (years/distance whichever comes first),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tata,Nano Genx,Emax Xm,"Rs. 2,96,661",624 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,15 litres,CNG,1652 mm,3164 mm,1750 mm,Hatchback,4,,,,36 km/kg,710 kg,4,180 mm,Drum,Drum,Electric Power,,38PS@5500rpm,51Nm@4000rpm,Analog,Manual,2230 mm,4 B X 12,2 years /75000 Kms (years/distance whichever comes first),Air Conditioning with cooling only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tata,Nano Genx,Xta,"Rs. 3,34,768",624 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,?23.6 km/litre,,21.9 km/litre,,725 kg,5,180 mm,Drum,Drum,Electric Power,Only Front Windows,38PS@5500rpm,51Nm@4000rpm,Analog,Automatic,2230 mm,4 B X 12,2 years /75000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tata,Nano Genx,Xm,"Rs. 2,72,223",624 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,?23.6 km/litre,,23.6 km/litre,,725 kg,4,180 mm,Drum,Drum,Electric Power,,38PS@5500rpm,51Nm@4000rpm,Analog,Manual,2230 mm,4 B X 12,2 years /75000 Kms (years/distance whichever comes first),Air Conditioning with cooling only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tata,Nano Genx,Xma,"Rs. 3,14,815",624 cc,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,?23.6 km/litre,,21.9 km/litre,,710 kg,5,180 mm,Drum,Drum,Electric Power,,38PS@5500rpm,51Nm@4000rpm,Analog,Automatic,2230 mm,4 B X 12,2 years /75000 Kms (years/distance whichever comes first),Air Conditioning with cooling only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Maruti Suzuki,Eeco,5 Str,"Rs. 3,52,136",1196 cc,4,4,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40 litres,Petrol,1800 mm,3675 mm,1475 mm,MPV,5,12 km/litre,15 km/litre,15 km/litre,,920 kg,5,160 mm,Ventilated Disc,Drum,,,73PS@6000rpm,101Nm@3000rpm,Analog,Manual,2350 mm,155 R13 LT,2 years /40000 Kms (years/distance whichever comes first),,,,Yes,1510 kg,Driver frontal airbag,1,9.9,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Maruti Suzuki,Eeco,7 Str,"Rs. 3,80,573",1196 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40 litres,Petrol,1800 mm,3675 mm,1475 mm,MPV,5,12 km/litre,15 km/litre,15 km/litre,,940 kg,5,160 mm,Ventilated Disc,Drum,,,74PS@6000RPM,101Nm@3000rpm,Analog,Manual,2350 mm,155 R13 LT,2 years /40000 Kms (years/distance whichever comes first),,,,Yes,1540 kg,Driver frontal airbag,1,9.9,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,"Rs. 3,92,967",1196 cc,4,4,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40 litres,Petrol,1800 mm,3675 mm,1475 mm,MPV,5,11 km/litre,15 km/litre,15 km/litre,,928 kg,5,160 mm,Ventilated Disc,Drum,,,73PS@6000rpm,101Nm@3000rpm,Analog,Manual,2350 mm,155 R13 LT,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1510 kg,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,"Rs. 4,66,057",1196 cc,4,4,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40 litres,CNG,1800 mm,3675 mm,1475 mm,MPV,5,,,,20 km/kg,1050 kg,5,160 mm,Ventilated Disc,Drum,,,62PS@6000rpm,85Nm@3000rpm,Analog,Manual,2350 mm,155 R13 LT,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1510 kg,Driver frontal airbag,1,9.9,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Maruti Suzuki,Eeco,5 Str With Htr Cng,"Rs. 4,25,255",1196 cc,4,4,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40 litres,CNG,1800 mm,3675 mm,1475 mm,MPV,5,,,,20 km/kg,1030 kg,5,160 mm,Ventilated Disc,Drum,,,62PS@6000rpm,85Nm@3000rpm,Analog,Manual,2350 mm,155 R13 LT,2 years /40000 Kms (years/distance whichever comes first),Heater,,,Yes,1510 kg,Driver frontal airbag,1,9.9,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Maruti Suzuki,Alto K10,Lxi,"Rs. 3,77,588",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3545 mm,1490 mm,Hatchback,5,14 km/litre,17 km/litre,24.07 km/litre,,745 kg,5,160 mm,Ventilated Disc,Drum,Yes,,68PS@6000rpm,90Nm@3500rpm,Analog,Manual,2360 mm,155/65R13,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1210 kg,Driver frontal airbag,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Maruti Suzuki,Alto K10,Vxi,"Rs. 3,94,036",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3545 mm,1490 mm,Hatchback,5,14 km/litre,17 km/litre,24.07 km/litre,,750 kg,5,160 mm,Ventilated Disc,Drum,Yes,Only Front Windows,68PS@6200rpm,90Nm@3500rpm,Analog,Manual,2360 mm,155/65R13,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1210 kg,Driver frontal airbag,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Maruti Suzuki,Alto K10,Lx,"Rs. 3,60,843",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3545 mm,1490 mm,Hatchback,5,19 km/litre,24.07 km/litre,24.07 km/litre,,740 kg,5,160 mm,Ventilated Disc,Drum,,,68PS@6000rpm,90Nm@3500rpm,Analog,Manual,2360 mm,155/65R13,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1210 kg,Driver frontal airbag,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Maruti Suzuki,Alto K10,Vxi (O),"Rs. 4,07,238",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1460 mm,3620 mm,1475 mm,Hatchback,5,14 km/litre,17 km/litre,24.07 km/litre,,755 kg,5,160 mm,Ventilated Disc,Drum,Yes,Only Front Windows,68PS@6000rpm,90Nm@3500rpm,Analog,Manual,2360 mm,155/65R13,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1210 kg,Driver frontal airbag,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Maruti Suzuki,Alto K10,Lxi Cng (O),"Rs. 4,39,777",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,CNG,1475 mm,3545 mm,1490 mm,Hatchback,5,,,,32.26 km/kg,740 kg,5,160 mm,Ventilated Disc,Drum,Yes,,59PS@6000rpm,78Nm@3500rpm,Analog,Manual,2360 mm,155/65R13,,Manual Air conditioning with cooling and heating,,,,1210 kg,Driver frontal airbag,1,10.0:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Maruti Suzuki,Alto K10,Vxi Amt (O),"Rs. 4,38,559",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3545 mm,1490 mm,Hatchback,5,14 km/litre,17 km/litre,24.07 km/litre,,755 kg,5,160 mm,Ventilated Disc,Drum,Yes,Only Front Windows,68PS@6000rpm,90Nm@3500rpm,Analog,Automatic,2360 mm,155/65R13,,Manual Air conditioning with cooling and heating,,,,1210 kg,Driver frontal airbag,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Maruti Suzuki,Celerio Tour,H2,"Rs. 4,22,444",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,,23.1 km/litre,,830 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,,68PS@6000rpm,90Nm@3500rpm,Analog,Manual,2425 mm,155/80R13,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1250 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Maruti Suzuki,Celerio Tour,H2 Cng,"Rs. 4,80,670",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60 litres,CNG,1560 mm,3695 mm,1600 mm,Hatchback,5,,,,31.76 km/kg,915 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,59bhp@6000rpm,78Nm@3500rpm,Analog,Manual,2425 mm,165/70R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1350 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Hyundai,Santro,Era Mt,"Rs. 4,29,990",1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3610 mm,1645 mm,Hatchback,4,,,20.3 km/litre,,,5,,,,Electric Power,Only Front Windows,69PS@5500rpm,99.04nm@4500RPM,Analog,Manual,2400 mm,,,Manual Air conditioning with cooling and heating,,,Yes,,Driver frontal airbag,1,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Hyundai,Santro,Magna Mt,"Rs. 5,03,990",1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3610 mm,1645 mm,Hatchback,4,,,20.3 km/litre,,,5,,,,Electric Power,All Windows,69PS@5500rpm,99.04nm@4500RPM,Analog,Manual,2400 mm,,,Manual Air conditioning with cooling and heating,,,Yes,,Driver frontal airbag,1,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Hyundai,Santro,Magna Mt Cng,"Rs. 5,47,990",1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,CNG,1560 mm,3610 mm,1645 mm,Hatchback,4,,,,30.48 km/kg,,5,,,,Electric Power,All Windows,59PS@5500RPM,99.04nm@4500RPM,Digital,Manual,2400 mm,,,Manual Air conditioning with cooling and heating,,,Yes,,Driver frontal airbag,1,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Hyundai,Santro,Magna Amt,"Rs. 5,30,990",1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3610 mm,1645 mm,Hatchback,4,,,20.3 km/litre,,,5,,Solid Disc,Drum,Electric Power,All Windows,69PS@5500rpm,10.1kgm@4500RPM,Analog,AMT,2400 mm,155/80 R13,,Manual Air conditioning with cooling and heating,,,Yes,,Driver frontal airbag,1,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Hyundai,Santro,Sportz Mt,"Rs. 5,12,990",1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3610 mm,1645 mm,Hatchback,4,,,20.3 km/litre,,,5,,Solid Disc,Drum,Electric Power,All Windows,69PS@5500rpm,10.1kgm@4500RPM,Analog,Manual,2400 mm,165/70 R14,,Manual Air conditioning with cooling and heating,,,Yes,,Driver frontal airbag,1,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Hyundai,Santro,Sportz Mt Cng,"Rs. 5,78,990",1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60 litres,CNG,1560 mm,3610 mm,1645 mm,Hatchback,4,,,,30.48 km/kg,,5,,Solid Disc,Drum,Electric Power,All Windows,59PS@5500RPM,8.3KGM@4500rpm,Analog,Manual,2400 mm,165/70 R14,,Manual Air conditioning with cooling and heating,,,Yes,,Driver frontal airbag,1,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Hyundai,Santro,Sportz Amt,"Rs. 5,70,990",1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3610 mm,1645 mm,Hatchback,4,,,20.3 km/litre,,,5,,Solid Disc,Drum,Electric Power,All Windows,69PS@5500rpm,10.1kgm@4500RPM,Analog,AMT,2400 mm,165/70 R14,,Manual Air conditioning with cooling and heating,,,Yes,,Driver frontal airbag,1,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Hyundai,Santro,Asta Mt,"Rs. 5,56,490",1086 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3610 mm,1645 mm,Hatchback,4,,,20.3 km/litre,,,5,,,,Electric Power,All Windows,69PS@5500rpm,99.04nm@4500RPM,Analog,Manual,2400 mm,,,Manual Air conditioning with cooling and heating,,,Yes,,"Front passenger frontal airbag, Driver frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Tata,Tiago,Revotron Xe,"Rs. 4,60,000",1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1535 mm,3765 mm,1677 mm,Hatchback,5,,,23 km/litre,,935 kg,5,,Ventilated Disc,Drum,Electric Power,,86PS@6000rpm,114NM@3300rpm,Analog,Manual,2400 mm,155/80 R13,"2 Years / 75,000 KM (whichever is earlier)",Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Tata,Tiago,Revotron Xt,"Rs. 5,20,000",1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1535 mm,3746 mm,1647 mm,Hatchback,5,23.84 km/litre,23 km/litre,23 km/litre,,930 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,86PS@6000rpm,114NM@3300rpm,Analog,Manual,2400 mm,175/65 R14,"2 Years / 75,000 KM (whichever is earlier)",Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Tata,Tiago,Revotron Xz,"Rs. 5,70,000",1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1535 mm,3746 mm,1647 mm,Hatchback,5,23.84 km/litre,23 km/litre,23 km/litre,,930 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,86PS@6000rpm,114NM@3300rpm,Analog,Manual,2400 mm,175/65 R14,"2 Years / 75,000 KM (whichever is earlier)",Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Tata,Tiago,Revotron Xz Plus,"Rs. 5,99,000",1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1535 mm,3746 mm,1647 mm,Hatchback,5,23.84 km/litre,23 km/litre,23 km/litre,,930 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,86PS@6000rpm,114NM@3300rpm,Analog,Manual,2400 mm,175/65 R14,"2 Years / 75,000 KM (whichever is earlier)",Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Tata,Tiago,Revotron Xz Plus Dual Tone,"Rs. 6,10,000",1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1535 mm,3746 mm,1647 mm,Hatchback,5,23.84 km/litre,23 km/litre,23 km/litre,,930 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,86PS@6000rpm,114NM@3300rpm,Analog,Manual,2400 mm,175/65 R14,"2 Years / 75,000 KM (whichever is earlier)",Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Tata,Tiago,Revotron Xza,"Rs. 6,20,000",1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1535 mm,3746 mm,1647 mm,Hatchback,5,23.84 km/litre,24 km/litre,24 km/litre,,930 kg,5,170 mm,Solid Disc,Drum,Electric Power,All Windows,86PS@6000rpm,114NM@3300rpm,Analog,AMT,2400 mm,,,Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Tata,Tiago,Revotron Xza Plus,"Rs. 6,49,000",1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1535 mm,3746 mm,1647 mm,Hatchback,5,23.84 km/litre,24 km/litre,24 km/litre,,930 kg,5,170 mm,Solid Disc,Drum,Electric Power,All Windows,86PS@6000rpm,114NM@3300rpm,Analog,AMT,2400 mm,,,Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Tata,Tiago,Revotron Xza Plus Dual Tone,"Rs. 6,60,000",1199 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1535 mm,3746 mm,1647 mm,Hatchback,5,23.84 km/litre,24 km/litre,24 km/litre,,930 kg,5,170 mm,Solid Disc,Drum,Electric Power,All Windows,86PS@6000rpm,114NM@3300rpm,Analog,AMT,2400 mm,,,Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Maruti Suzuki,Celerio X,Vxi (O),"Rs. 4,81,074",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,Analog,Manual,2425 mm,165/70R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1250 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Maruti Suzuki,Celerio X,Vxi,"Rs. 4,75,198",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,Analog,Manual,2425 mm,165/70R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1250 kg,Driver frontal airbag,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Maruti Suzuki,Celerio X,Vxi Amt,"Rs. 5,18,198",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,Analog,Automatic,2425 mm,165/70R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1250 kg,Driver frontal airbag,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Maruti Suzuki,Celerio X,Vxi Amt (O),"Rs. 5,24,074",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,Analog,Automatic,2425 mm,165/70R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1250 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Maruti Suzuki,Celerio X,Zxi,"Rs. 4,99,734",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,Analog,Manual,2425 mm,165/70R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1250 kg,Driver frontal airbag,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Maruti Suzuki,Celerio X,Zxi (O),"Rs. 5,40,350",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,Analog,Manual,2425 mm,165/70R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1250 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
